season,team
2000-01,Clemson
2000-01,Duke
2000-01,Florida State
2000-01,Georgia Tech
2000-01,Maryland
2000-01,NC State
2000-01,North Carolina
2000-01,Virginia
2000-01,Wake Forest
2001-02,Clemson
2001-02,Duke
2001-02,Florida State
2001-02,Georgia Tech
2001-02,Maryland
2001-02,NC State
2001-02,North Carolina
2001-02,Virginia
2001-02,Wake Forest
2002-03,Clemson
2002-03,Duke
2002-03,Florida State
2002-03,Georgia Tech
2002-03,Maryland
2002-03,NC State
2002-03,North Carolina
2002-03,Virginia
2002-03,Wake Forest
2003-04,Clemson
2003-04,Duke
2003-04,Florida State
2003-04,Georgia Tech
2003-04,Maryland
2003-04,NC State
2003-04,North Carolina
2003-04,Virginia
2003-04,Wake Forest
2004-05,Clemson
2004-05,Duke
2004-05,Florida State
2004-05,Georgia Tech
2004-05,Maryland
2004-05,Miami
2004-05,NC State
2004-05,North Carolina
2004-05,Virginia
2004-05,Virginia Tech
2004-05,Wake Forest
2005-06,Boston College
2005-06,Clemson
2005-06,Duke
2005-06,Florida State
2005-06,Georgia Tech
2005-06,Maryland
2005-06,Miami
2005-06,NC State
2005-06,North Carolina
2005-06,Virginia
2005-06,Virginia Tech
2005-06,Wake Forest
2006-07,Boston College
2006-07,Clemson
2006-07,Duke
2006-07,Florida State
2006-07,Georgia Tech
2006-07,Maryland
2006-07,Miami
2006-07,NC State
2006-07,North Carolina
2006-07,Virginia
2006-07,Virginia Tech
2006-07,Wake Forest
2007-08,Boston College
2007-08,Clemson
2007-08,Duke
2007-08,Florida State
2007-08,Georgia Tech
2007-08,Maryland
2007-08,Miami
2007-08,NC State
2007-08,North Carolina
2007-08,Virginia
2007-08,Virginia Tech
2007-08,Wake Forest
2008-09,Boston College
2008-09,Clemson
2008-09,Duke
2008-09,Florida State
2008-09,Georgia Tech
2008-09,Maryland
2008-09,Miami
2008-09,NC State
2008-09,North Carolina
2008-09,Virginia
2008-09,Virginia Tech
2008-09,Wake Forest
2009-10,Boston College
2009-10,Clemson
2009-10,Duke
2009-10,Florida State
2009-10,Georgia Tech
2009-10,Maryland
2009-10,Miami
2009-10,NC State
2009-10,North Carolina
2009-10,Virginia
2009-10,Virginia Tech
2009-10,Wake Forest
2010-11,Boston College
2010-11,Clemson
2010-11,Duke
2010-11,Florida State
2010-11,Georgia Tech
2010-11,Maryland
2010-11,Miami
2010-11,NC State
2010-11,North Carolina
2010-11,Virginia
2010-11,Virginia Tech
2010-11,Wake Forest
2011-12,Boston College
2011-12,Clemson
2011-12,Duke
2011-12,Florida State
2011-12,Georgia Tech
2011-12,Maryland
2011-12,Miami
2011-12,NC State
2011-12,North Carolina
2011-12,Virginia
2011-12,Virginia Tech
2011-12,Wake Forest
2012-13,Boston College
2012-13,Clemson
2012-13,Duke
2012-13,Florida State
2012-13,Georgia Tech
2012-13,Maryland
2012-13,Miami
2012-13,NC State
2012-13,North Carolina
2012-13,Virginia
2012-13,Virginia Tech
2012-13,Wake Forest
2013-14,Boston College
2013-14,Clemson
2013-14,Duke
2013-14,Florida State
2013-14,Georgia Tech
2013-14,Maryland
2013-14,Miami
2013-14,NC State
2013-14,North Carolina
2013-14,Notre Dame
2013-14,Pittsburgh
2013-14,Syracuse
2013-14,Virginia
2013-14,Virginia Tech
2013-14,Wake Forest
2014-15,Boston College
2014-15,Clemson
2014-15,Duke
2014-15,Florida State
