Time,YEAR,MONTH,North Carolina Tar Heels baseball,unc baseball,carolina baseball,north carolina baseball,unc baseball schedule,unc baseball score,unc baseball roster,tar heels baseball,TOTAL_QUERIES
1/1/2004,2004,1,0,0,6,2,0,0,0,0,8
2/1/2004,2004,2,2,0,9,3,0,0,0,0,14
3/1/2004,2004,3,0,2,11,3,0,0,0,0,16
4/1/2004,2004,4,1,2,12,5,0,0,0,0,20
5/1/2004,2004,5,2,2,17,7,0,0,0,0,28
6/1/2004,2004,6,2,0,25,8,0,0,0,0,35
7/1/2004,2004,7,0,0,9,4,0,0,0,0,13
8/1/2004,2004,8,0,0,7,3,0,0,0,0,10
9/1/2004,2004,9,0,0,5,2,0,0,0,0,7
10/1/2004,2004,10,0,0,5,2,0,0,0,0,7
11/1/2004,2004,11,0,0,5,3,0,0,0,0,8
12/1/2004,2004,12,0,0,4,2,0,0,0,0,6
1/1/2005,2005,1,2,1,6,3,0,0,0,0,12
2/1/2005,2005,2,2,2,11,5,0,0,0,0,20
3/1/2005,2005,3,3,2,16,5,0,0,0,0,26
4/1/2005,2005,4,3,4,19,8,0,0,0,0,34
5/1/2005,2005,5,4,2,18,6,0,0,0,0,30
6/1/2005,2005,6,2,2,16,6,0,0,0,0,26
7/1/2005,2005,7,0,0,12,6,0,0,0,0,18
8/1/2005,2005,8,1,0,9,4,0,0,0,0,14
9/1/2005,2005,9,0,0,5,3,0,0,0,0,8
10/1/2005,2005,10,0,1,5,2,0,0,0,0,8
11/1/2005,2005,11,1,1,4,2,0,0,0,0,8
12/1/2005,2005,12,1,1,4,2,0,0,0,0,8
1/1/2006,2006,1,1,1,7,3,0,0,0,0,12
2/1/2006,2006,2,3,3,12,4,0,0,0,0,22
3/1/2006,2006,3,3,3,15,6,0,0,0,0,27
4/1/2006,2006,4,4,4,17,6,0,0,0,0,31
5/1/2006,2006,5,4,3,17,8,0,0,0,0,32
6/1/2006,2006,6,14,9,24,13,0,0,1,1,62
7/1/2006,2006,7,2,2,11,6,0,0,0,0,21
8/1/2006,2006,8,1,1,8,4,0,0,0,0,14
9/1/2006,2006,9,1,1,6,3,0,0,0,0,11
10/1/2006,2006,10,1,1,6,3,0,0,0,0,11
11/1/2006,2006,11,1,1,6,2,0,0,0,0,10
12/1/2006,2006,12,1,1,4,2,0,0,0,0,8
1/1/2007,2007,1,1,1,7,3,0,0,0,0,12
2/1/2007,2007,2,3,3,13,5,0,0,0,0,24
3/1/2007,2007,3,6,5,17,5,0,0,0,0,33
4/1/2007,2007,4,5,5,16,6,0,0,0,0,32
5/1/2007,2007,5,5,4,20,7,0,0,0,0,36
6/1/2007,2007,6,17,13,27,12,0,0,0,1,70
7/1/2007,2007,7,1,2,12,5,0,0,0,0,20
8/1/2007,2007,8,1,1,9,3,0,0,0,0,14
9/1/2007,2007,9,1,1,7,3,0,0,0,0,12
10/1/2007,2007,10,2,1,6,2,0,0,0,0,11
11/1/2007,2007,11,1,1,5,2,0,0,0,0,9
12/1/2007,2007,12,1,1,5,2,0,0,0,0,9
1/1/2008,2008,1,2,1,6,2,0,0,0,0,11
2/1/2008,2008,2,3,3,10,3,0,0,0,0,19
3/1/2008,2008,3,6,6,17,5,0,0,0,0,34
4/1/2008,2008,4,6,5,17,6,0,0,0,0,34
5/1/2008,2008,5,7,6,19,7,0,0,0,0,39
6/1/2008,2008,6,13,11,22,10,0,0,0,1,57
7/1/2008,2008,7,2,2,11,4,0,0,0,0,19
8/1/2008,2008,8,1,1,8,3,0,0,0,0,13
9/1/2008,2008,9,1,1,6,2,0,0,0,0,10
10/1/2008,2008,10,1,2,5,2,0,0,0,0,10
11/1/2008,2008,11,1,2,5,2,0,0,0,0,10
12/1/2008,2008,12,1,1,5,2,0,0,0,0,9
1/1/2009,2009,1,2,2,6,2,0,0,0,0,12
2/1/2009,2009,2,5,5,12,3,0,0,0,0,25
3/1/2009,2009,3,6,6,16,5,1,0,0,0,34
4/1/2009,2009,4,7,7,15,5,1,0,0,0,35
5/1/2009,2009,5,7,6,20,6,0,0,0,0,39
6/1/2009,2009,6,12,10,19,7,0,0,1,1,50
7/1/2009,2009,7,1,1,10,4,0,0,0,0,16
8/1/2009,2009,8,1,1,7,2,0,0,0,0,11
9/1/2009,2009,9,1,2,7,2,0,0,0,0,12
