season,game_number,date,start_time,opponent,tournament,venue,promotion,result,ncstate_score,opponent_score,attendance
1999,1,Feb 9(Tue),7:00 PM,North Carolina A&T,,Doak Field,,"W, 6-2",6,2,652
1999,2,Feb 12(Fri),7:00 PM,Virginia Commonwealth,,The Diamond,,"W, 2-1",2,1,572
1999,3,Feb 13(Sat),7:00 PM,The Citadel,,Riley Park,,"W, 5-3",5,3,1536
1999,4,Feb 14(Sun),7:00 PM,East Carolina,,Doak Field,,"L, 0-8",0,8,384
1999,5,Feb 17(Wed),7:00 PM,William & Mary,,Doak Field,,"W, 6-4",6,4,347
1999,6,Feb 19(Fri),1:00 PM,Villanova,,Doak Field,,"W, 21-8",21,8,117
1999,7,Feb 20(Sat),1:00 PM,Villanova,,Doak Field,,"W, 5-3",5,3,424
1999,8,Feb 21(Sun),1:00 PM,Villanova,,Doak Field,,"W, 20-0",20,0,322
1999,9,Feb 24(Wed),7:00 PM,Appalachian State,,Doak Field,,"W, 18-3",18,3,228
1999,10,Feb 26(Fri),7:00 PM,Charleston Southern,,Buccaneer Field,,"W, 11-6",11,6,125
1999,11,Feb 27(Sat),7:00 PM,Charleston Southern,,Buccaneer Field,,"W, 16-11",16,11,205
1999,12,Mar 2(Tue),7:00 PM,Elon,,Doak Field,,"W, 11-4",11,4,344
1999,13,Mar 5(Fri),7:00 PM,Massachusetts,,Doak Field,,"W, 12-1",12,1,132
1999,14,Mar 6(Sat),7:00 PM,Massachusetts,,Doak Field,,"W, 2-0",2,0,141
1999,15,Mar 7(Sun),7:00 PM,Massachusetts,,Doak Field,,"W, 8-2",8,2,123
1999,16,Mar 8(Mon),7:00 PM,Ball State,,Doak Field,,"W, 5-2",5,2,88
1999,17,Mar 10(Wed),7:00 PM,Cleveland State,,Doak Field,,"W, 9-1",9,1,34
1999,18,Mar 10(Wed),7:00 PM,Cleveland State,,Doak Field,,"W, 7-3",7,3,73
1999,19,Mar 12(Fri),7:00 PM,Georgia Tech,,Mac Nease Park,,"L, 4-9",4,9,707
1999,20,Mar 13(Sat),7:00 PM,Georgia Tech,,Mac Nease Park,,"L, 6-7",6,7,395
1999,21,Mar 14(Sun),7:00 PM,Georgia Tech,,Mac Nease Park,,"W, 12-7",12,7,229
1999,22,Mar 16(Tue),7:00 PM,Western Carolina,,Doak Field,,"W, 7-2",7,2,173
1999,23,Mar 17(Wed),7:00 PM,Western Carolina,,Doak Field,,"W, 11-1",11,1,637
1999,24,Mar 19(Fri),7:00 PM,Florida State,,Doak Field,,"L, 4-14",4,14,2243
1999,25,Mar 20(Sat),7:00 PM,Florida State,,Doak Field,,"L, 1-2",1,2,2097
1999,26,Mar 21(Sun),7:00 PM,Florida State,,Doak Field,,"L, 1-13",1,13,631
1999,27,Mar 24(Wed),7:00 PM,The Citadel,,Doak Field,,"W, 16-5",16,5,349
1999,28,Mar 26(Fri),7:00 PM,Virginia,,Disharoon Park,,"W, 2-1",2,1,143
1999,29,Mar 27(Sat),7:00 PM,Virginia,,Disharoon Park,,"W, 8-3",8,3,147
1999,30,Mar 28(Sun),7:00 PM,Virginia,,Disharoon Park,,"L, 6-9",6,9,203
1999,31,Mar 30(Tue),7:00 PM,Old Dominion,,Doak Field,,"L, 4-8",4,8,230
1999,32,Mar 31(Wed),7:00 PM,UNC Wilmington,,Brooks Field,,"L, 2-7",2,7,624
1999,33,Apr 2(Fri),7:00 AM,North Carolina,,Doak Field,,"L, 12-13",12,13,2844
1999,34,Apr 3(Sat),7:00 AM,North Carolina,,Doak Field,,"W, 8-7",8,7,2958
1999,35,Apr 4(Sun),1:30 PM,North Carolina,,Doak Field,,"W, 3-1",3,1,2298
1999,36,Apr 7(Wed),7:00 PM,UNC Wilmington,,Doak Field,,"W, 11-5",11,5,1144
1999,37,Apr 9(Fri),7:00 PM,Miami,,Mark Light Field,,"L, 4-7",4,7,2447
1999,38,Apr 10(Sat),7:00 PM,Miami,,Mark Light Field,,"W, 13-9",13,9,2471
1999,39,Apr 11(Sun),7:00 PM,Miami,,Mark Light Field,,"L, 6-7",6,7,1441
1999,40,Apr 13(Tue),7:00 PM,Virginia Commonwealth,,Doak Field,,"L, 4-5",4,5,272
1999,41,Apr 14(Wed),7:00 PM,Old Dominion,,Bud Metheny Baseball Complex,,"L, 5-7",5,7,248
1999,42,Apr 14(Wed),7:00 PM,Clemson,,Doak Field,,"W, 19-9",19,9,355
1999,43,Apr 16(Fri),7:00 PM,Maryland,,Doak Field,,"W, 11-10",11,10,954
1999,44,Apr 17(Sat),7:00 PM,Maryland,,Doak Field,,"W, 7-5",7,5,560
1999,45,Apr 18(Sun),1:00 PM,Maryland,,Doak Field,,"L, 0-6",0,6,1374
1999,46,Apr 20(Tue),7:00 PM,Oklahoma State,,Doak Field,,"W, 9-6",9,6,885
1999,47,Apr 21(Wed),7:00 PM,Oklahoma State,,Doak Field,,"L, 1-4",1,4,403
1999,48,Apr 23(Fri),7:00 PM,Wake Forest,,Gene Hooks Field,,"L, 9-13",9,13,1069
1999,49,Apr 24(Sat),7:00 PM,Wake Forest,,Gene Hooks Field,,"L, 10-11",10,11,1745
1999,50,Apr 25(Sun),7:00 PM,Wake Forest,,Gene Hooks Field,,"W, 13-7",13,7,1138
1999,51,Apr 30(Fri),7:00 PM,Duke,,Jack Coombs Field,,"W, 11-5",11,5,154
1999,52,May 1(Sat),7:00 PM,Duke,,Jack Coombs Field,,"L, 2-3",2,3,227
1999,53,May 2(Sun),7:00 PM,Duke,,Jack Coombs Field,,"L, 4-8",4,8,
1999,54,May 8(Sat),7:00 PM,East Carolina,,Fleming Stadium,,"W, 3-2",3,2,3867
1999,55,May 15(Sat),7:00 PM,Clemson,,Doak Field,,"W, 7-4",7,4,1147
1999,56,May 16(Sun),7:00 PM,Clemson,,Doak Field,,"L, 4-7",4,7,1660
1999,57,May 19(Wed),7:00 PM,Clemson,ACC Tournament,Durham Bulls Athletic Park,,"L, 6-7",6,7,2643
1999,58,May 20(Thu),7:00 PM,Virginia,ACC Tournament,Durham Bulls Athletic Park,,"W, 9-6",9,6,1419
1999,59,May 21(Fri),7:00 PM,Georgia Tech,ACC Tournament,Durham Bulls Athletic Park,,"W, 9-6",9,6,
1999,60,May 22(Sat),7:00 PM,Wake Forest,ACC Tournament,Durham Bulls Athletic Park,,"L, 6-11",6,11,
1999,61,May 28(Fri),7:00 PM,Auburn,NCAA Auburn Regional,Plainsman Park,,"L, 7-9",7,9,3496
1999,62,May 29(Sat),7:00 PM,Tulane,NCAA Auburn Regional,Plainsman Park,,"L, 5-11",5,11,2550
2000,1,Feb 11(Fri),7:00 PM,East Carolina,,Riley Park,,"L, 2-10",2,10,412
2000,2,Feb 12(Sat),7:00 PM,The Citadel,,Riley Park,,"L, 1-2",1,2,1571
2000,3,Feb 13(Sun),7:00 PM,Old Dominion,,Riley Park,,"W, 11-2",11,2,1281
2000,4,Feb 16(Wed),7:00 PM,Elon,,Doak Field,,"W, 4-3",4,3,244
2000,5,Feb 18(Fri),7:00 PM,Rutgers,,Doak Field,,"W, 9-8",9,8,102
2000,6,Feb 19(Sat),7:00 PM,Rutgers,,Doak Field,,"L, 3-7",3,7,347
2000,7,Feb 20(Sun),7:00 PM,Rutgers,,Doak Field,,"W, 5-4",5,4,556
2000,8,Feb 25(Fri),7:00 PM,Cleveland State,,Doak Field,,"W, 10-5",10,5,714
2000,9,Feb 26(Sat),7:00 PM,Cleveland State,,Doak Field,,"W, 7-3",7,3,869
2000,10,Feb 27(Sun),7:00 PM,Cleveland State,,Doak Field,,"W, 4-2",4,2,357
2000,11,Mar 1(Wed),7:00 PM,Davidson,,Doak Field,,"L, 5-7",5,7,383
2000,12,Mar 3(Fri),7:00 PM,George Mason,,Doak Field,,"W, 4-3",4,3,244
2000,13,Mar 4(Sat),7:00 PM,George Mason,,Doak Field,,"L, 3-6",3,6,88
2000,14,Mar 5(Sun),7:00 PM,George Mason,,Doak Field,,"W, 14-9",14,9,893
2000,15,Mar 7(Tue),7:00 PM,Richmond,,Doak Field,,"L, 1-5",1,5,283
2000,16,Mar 8(Wed),7:00 PM,Richmond,,Doak Field,,"W, 4-3",4,3,360
2000,17,Mar 10(Fri),3:00 PM,Wake Forest,,Doak Field,,"L, 0-11",0,11,435
2000,18,Mar 11(Sat),1:30 PM,Wake Forest,,Doak Field,,"W, 8-6",8,6,407
2000,19,Mar 12(Sun),1:30 PM,Wake Forest,,Doak Field,,"W, 12-4",12,4,758
2000,20,Mar 15(Wed),7:00 PM,Pace University,,Doak Field,,"W, 10-2",10,2,116
2000,21,Mar 17(Fri),7:00 PM,Virginia,,Doak Field,,"W, 16-13",16,13,353
2000,22,Mar 18(Sat),1:30 PM,Virginia,,Doak Field,,"W, 4-2",4,2,420
2000,23,Mar 19(Sun),1:30 PM,Virginia,,Doak Field,,"L, 1-3",1,3,281
2000,24,Mar 24(Fri),3:00 PM,North Carolina,,Boshamer Stadium,,"W, 14-11",14,11,2064
2000,25,Mar 25(Sat),1:00 PM,North Carolina,,Boshamer Stadium,,"L, 2-5",2,5,2935
2000,26,Mar 26(Sun),1:30 PM,North Carolina,,Boshamer Stadium,,"L, 1-4",1,4,1657
2000,27,Mar 28(Tue),7:00 PM,The Citadel,,Doak Field,,"L, 4-5",4,5,114
