season,opponent,venue,latitude,longitude
1999,Appalachian State,Beaver Field,36.2139,-81.6829
1999,Auburn,Plainsman Park,32.592,-85.494
1999,Campbell,Jim Perry Stadium,35.4065,-78.478
1999,Charleston Southern,Buccaneer Park,32.983152,-80.066997
1999,Charlotte,Hayes Stadium,35.3058,-80.7327
1999,Clemson,Doug Kingsmore Stadium,34.6831,-82.8371
1999,Cleveland State,Cleveland State Baseball Stadium,41.4593,-82.184
1999,Coastal Carolina,Springs Brooks Stadium,33.7904,-79.0181
1999,Davidson,Wilson Field,35.4993,-80.847
1999,Duke,Jack Coombs Field,36.0014,-78.9381
1999,East Carolina,Clark-LeClair Stadium,35.6082,-77.3713
1999,Elon,Latham Park,36.1023,-79.4952
1999,Florida State,Dick Howser Stadium,30.443,-84.2977
1999,Fresno State,Pete Bieden Field,36.8141,-119.7475
1999,Georgia Tech,Mac Nease Park,33.774,-84.3975
1999,Liberty,Liberty Baseball Stadium,37.3566,-79.1751
1999,Maryland,Shipley Field,38.9886,-76.949
1999,Massachusetts,Earl Lorden Field,42.392,-72.5301
1999,Miami,Mark Light Field,25.7189,-80.2775
1999,Mount Olive,Doris Wooten Field,35.1976,-78.0638
1999,NC State,Doak Field,35.7826,-78.6986
1999,Nevada,Peccole Park,39.5547,-119.8089
1999,North Carolina,Boshamer Stadium,35.9115,-79.0528
1999,Oklahoma State,O'Brate Stadium,36.130975,-97.068777
1999,Old Dominion,Bud Metheny Baseball Complex,36.886,-76.3059
1999,Seton Hall,Owen T. Carroll Field,40.7452,-74.2543
1999,Stanford,Sunken Diamond,37.4344,-122.1633
1999,Temple,Skip Wilson Field,40.0051,-75.1931
1999,The Citadel,Riley Park,32.782,-79.9394
1999,Towson,John B. Schuerholz Park,39.3971,-76.5994
1999,Tulane,Greer Field at Turchin Stadium,29.9464,-90.11568
1999,UNC Wilmington,Brooks Field,34.2273,-77.8709
1999,Virginia,Disharoon Park,38.03,-78.5155
1999,Virginia Commonwealth,Pate Field,37.5478,-77.474
1999,Wake Forest,Gene Hooks Field,36.1316,-80.2592
1999,Winthrop,Winthrop Ballpark,34.9405,-81.0134
2000,Charlotte,Hayes Stadium,35.3058,-80.7327
2000,Clemson,Doug Kingsmore Stadium,34.6831,-82.8371
2000,Cleveland State,Cleveland State Baseball Stadium,41.4593,-82.184
2000,Coastal Carolina,Springs Brooks Stadium,33.7904,-79.0181
2000,Davidson,Wilson Field,35.4993,-80.847
2000,Duke,Jack Coombs Field,36.0014,-78.9381
2000,East Carolina,Clark-LeClair Stadium,35.6082,-77.3713
2000,Elon,Latham Park,36.1023,-79.4952
2000,Florida State,Dick Howser Stadium,30.443,-84.2977
2000,Georgia Tech,Mac Nease Park,33.774,-84.3975
2000,Liberty,Liberty Baseball Stadium,37.3566,-79.1751
2000,Maryland,Shipley Field,38.9886,-76.949
2000,Miami,Mark Light Field,25.7189,-80.2775
2000,NC State,Doak Field,35.7826,-78.6986
2000,North Carolina,Boshamer Stadium,35.9115,-79.0528
2000,Old Dominion,Bud Metheny Baseball Complex,36.886,-76.3059
2000,Pace University,Pace University Field,41.1348,-73.7948
2000,Penn State,Medlar Field at Lubrano Park,40.7926,-77.8538
2000,Rice,Rice's Reckling Park,29.7176,-95.3991
2000,Richmond,Pitt Field,37.5671,-77.5387
2000,Rutgers,Bainton Field,40.4997,-74.4395
2000,Seton Hall,Owen T. Carroll Field,40.7452,-74.2543
2000,The Citadel,Riley Park,32.782,-79.9394
2000,Towson,John B. Schuerholz Park,39.3971,-76.5994
2000,UCF,UCF Baseball Complex,28.6024,-81.2001
2000,UCLA,Jackie Robinson Stadium,34.0715,-118.4503
2000,UNC Greensboro,UNCG Baseball Complex,36.0716,-79.8133
2000,UNC Wilmington,Brooks Field,34.2273,-77.8709
2000,Virginia,Disharoon Park,38.03,-78.5155
2000,Virginia Commonwealth,Pate Field,37.5478,-77.474
2000,Wake Forest,Gene Hooks Field,36.1316,-80.2592
2000,West Virginia,Monongalia County Ballpark,39.6328,-79.9553
2000,Western Carolina,Hennon Stadium,35.3084,-83.1961
2000,Winthrop,Winthrop Ballpark,34.9405,-81.0134
2001,Appalachian State,Beaver Field,36.2139,-81.6829
2001,Auburn,Plainsman Park,32.592,-85.494
2001,Campbell,Jim Perry Stadium,35.4065,-78.478
2001,Charlotte,Hayes Stadium,35.3058,-80.7327
2001,Cincinnati,Marge Schott Stadium,39.1457,-84.5049
2001,Clemson,Doug Kingsmore Stadium,34.6831,-82.8371
2001,Coastal Carolina,Springs Brooks Stadium,33.7904,-79.0181
2001,Davidson,Wilson Field,35.4993,-80.847
2001,Duke,Jack Coombs Field,36.0014,-78.9381
2001,East Carolina,Clark-LeClair Stadium,35.6082,-77.3713
2001,Elon,Latham Park,36.1023,-79.4952
2001,Florida State,Dick Howser Stadium,30.443,-84.2977
2001,George Mason,Spuhler Field,38.831,-77.3075
2001,Georgia Tech,Mac Nease Park,33.774,-84.3975
2001,High Point,Williard Stadium,35.9557,-80.0053
2001,James Madison,Eagle Field,38.4341,-78.8711
2001,Le Moyne,Brisson Field,43.0654,-76.1434
2001,Liberty,Liberty Baseball Stadium,37.3566,-79.1751
2001,Maryland,Shipley Field,38.9886,-76.949
2001,Minnesota,Siebert Field,44.974,-93.2578
2001,NC State,Doak Field,35.7826,-78.6986
2001,North Carolina,Boshamer Stadium,35.9115,-79.0528
