season,game_number,date,start_time,opponent,tournament,venue,result,unc_score,opponent_score,attendance
2000-01,1,Nov 10(Fri),7:30 PM,Winthrop,,Dean E. Smith Center,"W, 66-61",66,61,16850.0
2000-01,2,Nov 11(Sat),6:00 PM,Tulsa,NABC Classic,Dean E. Smith Center,"W, 91-81",91,81,19875.0
2000-01,3,Nov 17(Fri),7:30 PM,Appalachian State,,Holmes Convocation Center,"W, 99-69",99,69,
2000-01,4,Nov 29(Wed),7:30 PM,Michigan State,,Breslin Center,"L, 64-77",64,77,
2000-01,5,Dec 2(Sat),3:50 PM,Kentucky,,Dean E. Smith Center,"L, 76-93",76,93,21750.0
2000-01,6,Dec 4(Mon),7:00 PM,Miami,,Dean E. Smith Center,"W, 67-45",67,45,19859.0
2000-01,7,Dec 9(Sat),9:00 PM,Texas A&M,,Compaq Center,"W, 82-60",82,60,9123.0
2000-01,8,Dec 17(Sun),1:30 PM,Buffalo,,Dean E. Smith Center,"W, 95-74",95,74,18134.0
2000-01,9,Dec 23(Sat),4:00 PM,UCLA,,Pauley Pavilion,"W, 80-70",80,70,10593.0
2000-01,10,Dec 29(Fri),9:15 PM,Massachusetts,Tournament of Champions,Charlotte Coliseum,"W, 91-60",91,60,13224.0
2000-01,11,Dec 30(Sat),9:15 PM,College of Charleston,Tournament of Champions,Charlotte Coliseum,"W, 64-60",64,60,13378.0
2000-01,12,Jan 2(Tue),8:00 PM,Georgia Tech,,McCamish Pavilion,"W, 84-70",84,70,9510.0
2000-01,13,Jan 6(Sat),9:00 PM,Wake Forest,,Dean E. Smith Center,"W, 70-69",70,69,21750.0
2000-01,14,Jan 10(Wed),7:00 PM,Maryland,,Cole Field House,"W, 86-83",86,83,
2000-01,15,Jan 13(Sat),1:00 PM,Marquette,,Dean E. Smith Center,"W, 84-54",84,54,21750.0
2000-01,16,Jan 17(Wed),7:00 PM,Clemson,,Dean E. Smith Center,"W, 92-65",92,65,21335.0
2000-01,17,Jan 20(Sat),4:00 PM,Florida State,,Donald L. Tucker Civic Center,"W, 80-70",80,70,7452.0
2000-01,18,Jan 24(Wed),7:00 PM,Virginia,,Dean E. Smith Center,"W, 88-81",88,81,21750.0
2000-01,19,Jan 28(Sun),1:00 PM,NC State,,Lenovo Center,"W, 60-52",60,52,19722.0
2000-01,20,Feb 1(Thu),9:00 PM,Duke,,Cameron Indoor Stadium,"W, 85-83",85,83,9314.0
2000-01,21,Feb 3(Sat),4:00 PM,Georgia Tech,,Dean E. Smith Center,"W, 82-69",82,69,21750.0
2000-01,22,Feb 6(Tue),9:00 PM,Wake Forest,,Lawrence Joel Veterans Memorial Coliseum,"W, 80-74",80,74,14407.0
2000-01,23,Feb 10(Sat),1:00 PM,Maryland,,Dean E. Smith Center,"W, 96-82",96,82,
2000-01,24,Feb 18(Sun),4:00 PM,Clemson,,Littlejohn Coliseum,"L, 65-75",65,75,11200.0
2000-01,25,Feb 22(Thu),8:00 PM,Florida State,,Dean E. Smith Center,"W, 95-67",95,67,21652.0
2000-01,26,Feb 25(Sun),1:30 PM,Virginia,,University Hall,"L, 66-86",66,86,8392.0
2000-01,27,Feb 28(Wed),9:00 PM,NC State,,Dean E. Smith Center,"W, 76-63",76,63,21750.0
2000-01,28,Mar 4(Sun),3:30 PM,Duke,,Dean E. Smith Center,"L, 81-95",81,95,21750.0
2000-01,29,Mar 9(Fri),12:00 PM,Clemson,ACC Tournament,McCamish Pavilion,"W, 99-81",99,81,
