ncaa_name,bd_name,school_id
Abilene Christian,Abilene Christian,2
Air Force,Air Force,721
Akron,Akron,5
Alabama,Alabama,8
Alabama A&M,Alabama A&M,6
Alabama St.,Alabama State,7
UAB,Alabama-Birmingham,9
Albany (NY),Albany,14
Alcorn,Alcorn State,17
Appalachian St.,Appalachian State,27
Arizona,Arizona,29
Arizona St.,Arizona State,28
Arkansas,Arkansas,31
Arkansas St.,Arkansas State,30
Little Rock,Arkansas-Little Rock,32
Ark.-Pine Bluff,Arkansas-Pine Bluff,2678
Army West Point,Army,725
Auburn,Auburn,37
Austin Peay,Austin Peay State,43
Ball St.,Ball State,47
Baylor,Baylor,51
Belmont,Belmont,14927
Bethune-Cookman,Bethune-Cookman,61
Binghamton,Binghamton,62
Boise St.,Boise State,66
Boston College,Boston College,67
Bowling Green,Bowling Green State,71
Bradley,Bradley,72
BYU,Brigham Young,77
Brown,Brown,80
Bryant,Bryant,81
Bucknell,Bucknell,83
Buffalo,Buffalo,86
Butler,Butler,87
CSU Bakersfield,CSU Bakersfield,94
Cal Poly,Cal Poly,90
Cal St. Fullerton,Cal State Fullerton,97
CSUN,Cal State Northridge,101
California,California,107
California Baptist,California Baptist,30135
Campbell,Campbell,115
Canisius,Canisius,116
Central Ark.,Central Arkansas,1004
Central Conn. St.,Central Connecticut State,127
UCF,Central Florida,128
Central Mich.,Central Michigan,129
Charleston So.,Charleston Southern,48
Chicago St.,Chicago State,136
Cincinnati,Cincinnati,140
Clemson,Clemson,147
Coastal Carolina,Coastal Carolina,149
Col. of Charleston,College of Charleston,1014
Columbia,Columbia,158
UConn,Connecticut,164
Coppin St.,Coppin State,165
Cornell,Cornell,167
Creighton,Creighton,169
DBU,Dallas Baptist,1045
Dartmouth,Dartmouth,172
Davidson,Davidson,173
Dayton,Dayton,175
Delaware,Delaware,180
Delaware St.,Delaware State,178
Dixie St.,Dixie State,30095
Duke,Duke,193
East Carolina,East Carolina,196
ETSU,East Tennessee,198
Eastern Ill.,Eastern Illinois,201
Eastern Ky.,Eastern Kentucky,202
Eastern Mich.,Eastern Michigan,204
Elon,Elon,1068
Evansville,Evansville,219
Fairfield,Fairfield,220
Fairleigh Dickinson,Fairleigh Dickinson,222
Florida,Florida,235
Florida A&M,Florida A&M,228
Fla. Atlantic,Florida Atlantic,229
FGCU,Florida Gulf Coast,28755
FIU,Florida International,231
Florida St.,Florida State,234
Fordham,Fordham,236
Fresno St.,Fresno State,96
Furman,Furman,244
Gardner-Webb,Gardner-Webb,1092
George Mason,George Mason,248
George Washington,George Washington,249
Georgetown,Georgetown,251
Georgia,Georgia,257
Ga. Southern,Georgia Southern,253
Georgia St.,Georgia State,254
Georgia Tech,Georgia Tech,255
Gonzaga,Gonzaga,260
Grambling,Grambling State,261
Grand Canyon,Grand Canyon,1104
Hartford,Hartford,272
Harvard,Harvard,275
Hawaii,Hawaii,277
High Point,High Point,19651
Hofstra,Hofstra,283
Holy Cross,Holy Cross,285
Houston,Houston,288
Houston Baptist,Houston Baptist,287
Illinois,Illinois,301
Illinois St.,Illinois State,299
UIC,Illinois-Chicago,302
UIW,Incarnate World,2743
Indiana,Indiana,306
Indiana St.,Indiana State,305
Iona,Iona,310
Iowa,Iowa,312
Jackson St.,Jackson State,314
Jacksonville,Jacksonville,316
Jacksonville St.,Jacksonville State,315
James Madison,James Madison,317
Kansas,Kansas,328
Kansas St.,Kansas State,327
Kennesaw St.,Kennesaw State,1157
Kent St.,Kent State,331
Kentucky,Kentucky,334
La Salle,LaSalle,340
Lafayette,Lafayette,342
Lamar University,Lamar,346
Lehigh,Lehigh,352
Liberty,Liberty,355
Lipscomb,Lipscomb,28600
Long Beach St.,Long Beach State,99
LIU,Long Island,361
Longwood,Longwood,363
LSU,Louisiana State,365
Louisiana Tech,Louisiana Tech,366
La.-Monroe,Louisiana-Monroe,498
Louisville,Louisville,367
LMU (CA),Loyola Marymount,370
Maine,Maine,380
Manhattan,Manhattan,381
Marist,Marist,386
Marshall,Marshall,388
Maryland,Maryland,392
UMBC,Maryland-Baltimore County,391
UMES,Maryland-Eastern Shore,393
Massachusetts,Massachusetts,400
UMass Lowell,Massachusetts-Lowell,368
McNeese,McNeese State,402
Memphis,Memphis,404
Mercer,Mercer,406
Miami (FL),"""Miami, Florida""",415
Miami (OH),"""Miami, Ohio""",414
Michigan,Michigan,418
Michigan St.,Michigan State,416
Middle Tenn.,Middle Tennessee,419
Minnesota,Minnesota,428
Ole Miss,Mississippi,433
Mississippi St.,Mississippi State,430
Mississippi Val.,Mississippi Valley State,432
Missouri,Missouri,434
Missouri St.,Missouri State,669
Monmouth,Monmouth,439
Morehead St.,Morehead State,444
Mount St. Mary's,Mount St. Mary's,450
Murray St.,Murray State,454
Navy,Navy,726
Nebraska,Nebraska,463
Omaha,Nebraska-Omaha,464
Nevada,Nevada,466
UNLV,Nevada-Las Vegas,465
NJIT,New Jersey Tech,471
New Mexico,New Mexico,473
New Mexico St.,New Mexico State,472
New Orleans,New Orleans,474
New York Tech,New York Tech,477
Niagara,Niagara,482
Nicholls St.,Nicholls State,483
Norfolk St.,Norfolk State,485
North Ala.,North Alabama,487
North Carolina,North Carolina,457
N.C. A&T,North Carolina A&T,488
N.C. Central,North Carolina Central,489
NC State,North Carolina State,490
UNC Asheville,North Carolina-Asheville,456
Charlotte,North Carolina-Charlotte,458
UNC Greensboro,North Carolina-Greensboro,459
UNCW,North Carolina-Wilmington,460
North Dakota,North Dakota,494
North Dakota St.,North Dakota State,493
North Florida,North Florida,2711
Northeastern,Northeastern,500
Northern Colo.,Northern Colorado,502
Northern Ill.,Northern Illinois,503
Northern Ky.,Northern Kentucky,505
Northwestern,Northwestern,509
Northwestern St.,Northwestern State,508
Notre Dame,Notre Dame,513
Oakland,Oakland,514
Ohio,Ohio,519
Ohio St.,Ohio State,518
Oklahoma,Oklahoma,522
Oklahoma St.,Oklahoma State,521
Old Dominion,Old Dominion,523
Oral Roberts,Oral Roberts,527
Oregon,Oregon,529
Oregon St.,Oregon State,528
Pacific,Pacific,534
Penn St.,Penn State,539
Penn,Pennslyvania,540
Pepperdine,Pepperdine,541
Pittsburgh,Pittsburgh,545
Portland,Portland,551
Prairie View,Prairie View A&M,553
Presbyterian,Presbyterian,1320
Princeton,Princeton,554
Purdue,Purdue,559
Quinnipiac,Quinnipiac,562
Radford,Radford,563
Rhode Island,Rhode Island,572
Rice,Rice,574
Richmond,Richmond,575
Rider,Rider,576
Rutgers,Rutgers,587
Sacramento St.,Sacramento State,102
Sacred Heart,Sacred Heart,590
Sam Houston St.,Sam Houston State,624
Samford,Samford,625
San Diego,San Diego,627
San Diego St.,San Diego State,626
San Francisco,San Francisco,629
San Jose St.,San Jose State,630
Santa Clara,Santa Clara,631
Savannah St.,Savannah State,632
